catalog,bare_valve_code,series,size,end_connection,num_empty,all_empty,empty_positions
ball,2090FP0013,2090F2005,"8""","Flanged, RF ASME B16.5 Class 150",11,True,Double Acting @ 3.5 bar (error); Double Acting @ 4 bar (error); Double Acting @ 5.5 bar (error); Spring Return Fail-Close @ 3.5 bar (error); Spring Return Fail-Close @ 4 bar (error); Spring Return Fail-Close @ 5.5 bar (error); Spring Return Fail-Open @ 3.5 bar (error); Spring Return Fail-Open @ 4 bar (error); Spring Return Fail-Open @ 5.5 bar (error); Electrical (1) (error); Electrical (2) (error)
ball,2090FP0014,2090F2005,"8""","Flanged, RF ASME B16.5 Class 150",11,True,Double Acting @ 3.5 bar (error); Double Acting @ 4 bar (error); Double Acting @ 5.5 bar (error); Spring Return Fail-Close @ 3.5 bar (error); Spring Return Fail-Close @ 4 bar (error); Spring Return Fail-Close @ 5.5 bar (error); Spring Return Fail-Open @ 3.5 bar (error); Spring Return Fail-Open @ 4 bar (error); Spring Return Fail-Open @ 5.5 bar (error); Electrical (1) (error); Electrical (2) (error)
ball,2090FP0015,2090F2005,"8""","Flanged, RF ASME B16.5 Class 150",11,True,Double Acting @ 3.5 bar (error); Double Acting @ 4 bar (error); Double Acting @ 5.5 bar (error); Spring Return Fail-Close @ 3.5 bar (error); Spring Return Fail-Close @ 4 bar (error); Spring Return Fail-Close @ 5.5 bar (error); Spring Return Fail-Open @ 3.5 bar (error); Spring Return Fail-Open @ 4 bar (error); Spring Return Fail-Open @ 5.5 bar (error); Electrical (1) (error); Electrical (2) (error)
ball,2090FP0016,2090F2005,"8""","Flanged, RF ASME B16.5 Class 150",11,True,Double Acting @ 3.5 bar (error); Double Acting @ 4 bar (error); Double Acting @ 5.5 bar (error); Spring Return Fail-Close @ 3.5 bar (error); Spring Return Fail-Close @ 4 bar (error); Spring Return Fail-Close @ 5.5 bar (error); Spring Return Fail-Open @ 3.5 bar (error); Spring Return Fail-Open @ 4 bar (error); Spring Return Fail-Open @ 5.5 bar (error); Electrical (1) (error); Electrical (2) (error)
ball,2090FP0017,2090F2005,"8""","Flanged, RF ASME B16.5 Class 150",11,True,Double Acting @ 3.5 bar (error); Double Acting @ 4 bar (error); Double Acting @ 5.5 bar (error); Spring Return Fail-Close @ 3.5 bar (error); Spring Return Fail-Close @ 4 bar (error); Spring Return Fail-Close @ 5.5 bar (error); Spring Return Fail-Open @ 3.5 bar (error); Spring Return Fail-Open @ 4 bar (error); Spring Return Fail-Open @ 5.5 bar (error); Electrical (1) (error); Electrical (2) (error)
ball,2090FP0018,2090F2005,"8""","Flanged, RF ASME B16.5 Class 150",11,True,Double Acting @ 3.5 bar (error); Double Acting @ 4 bar (error); Double Acting @ 5.5 bar (error); Spring Return Fail-Close @ 3.5 bar (error); Spring Return Fail-Close @ 4 bar (error); Spring Return Fail-Close @ 5.5 bar (error); Spring Return Fail-Open @ 3.5 bar (error); Spring Return Fail-Open @ 4 bar (error); Spring Return Fail-Open @ 5.5 bar (error); Electrical (1) (error); Electrical (2) (error)
ball,2090FP0019,2090F2005,"8""","Flanged, RF ASME B16.5 Class 150",11,True,Double Acting @ 3.5 bar (error); Double Acting @ 4 bar (error); Double Acting @ 5.5 bar (error); Spring Return Fail-Close @ 3.5 bar (error); Spring Return Fail-Close @ 4 bar (error); Spring Return Fail-Close @ 5.5 bar (error); Spring Return Fail-Open @ 3.5 bar (error); Spring Return Fail-Open @ 4 bar (error); Spring Return Fail-Open @ 5.5 bar (error); Electrical (1) (error); Electrical (2) (error)
ball,2090FP0020,2090F2005,"8""","Flanged, RF ASME B16.5 Class 150",11,True,Double Acting @ 3.5 bar (error); Double Acting @ 4 bar (error); Double Acting @ 5.5 bar (error); Spring Return Fail-Close @ 3.5 bar (error); Spring Return Fail-Close @ 4 bar (error); Spring Return Fail-Close @ 5.5 bar (error); Spring Return Fail-Open @ 3.5 bar (error); Spring Return Fail-Open @ 4 bar (error); Spring Return Fail-Open @ 5.5 bar (error); Electrical (1) (error); Electrical (2) (error)
ball,2090FP0021,2090F2005,"8""","Flanged, RF ASME B16.5 Class 150",11,True,Double Acting @ 3.5 bar (error); Double Acting @ 4 bar (error); Double Acting @ 5.5 bar (error); Spring Return Fail-Close @ 3.5 bar (error); Spring Return Fail-Close @ 4 bar (error); Spring Return Fail-Close @ 5.5 bar (error); Spring Return Fail-Open @ 3.5 bar (error); Spring Return Fail-Open @ 4 bar (error); Spring Return Fail-Open @ 5.5 bar (error); Electrical (1) (error); Electrical (2) (error)
ball,2090FP0022,2090F2005,"8""","Flanged, RF ASME B16.5 Class 150",11,True,Double Acting @ 3.5 bar (error); Double Acting @ 4 bar (error); Double Acting @ 5.5 bar (error); Spring Return Fail-Close @ 3.5 bar (error); Spring Return Fail-Close @ 4 bar (error); Spring Return Fail-Close @ 5.5 bar (error); Spring Return Fail-Open @ 3.5 bar (error); Spring Return Fail-Open @ 4 bar (error); Spring Return Fail-Open @ 5.5 bar (error); Electrical (1) (error); Electrical (2) (error)
